"filename", "language", "MS SQL", "JSON", "JavaScript", "XML", "Markdown", "JSON with Comments", "CSS", "comment", "blank", "total"
"c:\Users\Haseeb Specter\Documents\GitHub\email-automation\AGENTS.md", "Markdown", 0, 0, 0, 0, 4, 0, 0, 0, 2, 6
"c:\Users\Haseeb Specter\Documents\GitHub\email-automation\CLAUDE.md", "Markdown", 0, 0, 0, 0, 1, 0, 0, 0, 1, 2
"c:\Users\Haseeb Specter\Documents\GitHub\email-automation\README.md", "Markdown", 0, 0, 0, 0, 44, 0, 0, 0, 20, 64
"c:\Users\Haseeb Specter\Documents\GitHub\email-automation\app\(auth)\invite\[token]\page.js", "JavaScript", 0, 0, 128, 0, 0, 0, 0, 0, 13, 141
"c:\Users\Haseeb Specter\Documents\GitHub\email-automation\app\(auth)\layout.js", "JavaScript", 0, 0, 3, 0, 0, 0, 0, 0, 1, 4
"c:\Users\Haseeb Specter\Documents\GitHub\email-automation\app\(auth)\login\login-client.js", "JavaScript", 0, 0, 119, 0, 0, 0, 0, 0, 14, 133
"c:\Users\Haseeb Specter\Documents\GitHub\email-automation\app\(auth)\login\page.js", "JavaScript", 0, 0, 9, 0, 0, 0, 0, 0, 2, 11
"c:\Users\Haseeb Specter\Documents\GitHub\email-automation\app\(auth)\signup\page.js", "JavaScript", 0, 0, 9, 0, 0, 0, 0, 0, 2, 11
"c:\Users\Haseeb Specter\Documents\GitHub\email-automation\app\(auth)\signup\signup-client.js", "JavaScript", 0, 0, 563, 0, 0, 0, 0, 1, 36, 600
"c:\Users\Haseeb Specter\Documents\GitHub\email-automation\app\(dashboard)\campaigns\campaigns-client.js", "JavaScript", 0, 0, 732, 0, 0, 0, 0, 1, 49, 782
"c:\Users\Haseeb Specter\Documents\GitHub\email-automation\app\(dashboard)\campaigns\page.js", "JavaScript", 0, 0, 15, 0, 0, 0, 0, 0, 2, 17
"c:\Users\Haseeb Specter\Documents\GitHub\email-automation\app\(dashboard)\compose\page.js", "JavaScript", 0, 0, 363, 0, 0, 0, 0, 2, 43, 408
"c:\Users\Haseeb Specter\Documents\GitHub\email-automation\app\(dashboard)\history\page.js", "JavaScript", 0, 0, 298, 0, 0, 0, 0, 3, 32, 333
"c:\Users\Haseeb Specter\Documents\GitHub\email-automation\app\(dashboard)\import\smm\page.js", "JavaScript", 0, 0, 4, 0, 0, 0, 0, 1, 2, 7
"c:\Users\Haseeb Specter\Documents\GitHub\email-automation\app\(dashboard)\import\website\page.js", "JavaScript", 0, 0, 4, 0, 0, 0, 0, 1, 2, 7
"c:\Users\Haseeb Specter\Documents\GitHub\email-automation\app\(dashboard)\instructions\page.js", "JavaScript", 0, 0, 212, 0, 0, 0, 0, 0, 29, 241
"c:\Users\Haseeb Specter\Documents\GitHub\email-automation\app\(dashboard)\layout.js", "JavaScript", 0, 0, 4, 0, 0, 0, 0, 0, 2, 6
"c:\Users\Haseeb Specter\Documents\GitHub\email-automation\app\(dashboard)\leads\page.js", "JavaScript", 0, 0, 611, 0, 0, 0, 0, 0, 36, 647
"c:\Users\Haseeb Specter\Documents\GitHub\email-automation\app\(dashboard)\page.js", "JavaScript", 0, 0, 218, 0, 0, 0, 0, 0, 19, 237
"c:\Users\Haseeb Specter\Documents\GitHub\email-automation\app\(dashboard)\settings\page.js", "JavaScript", 0, 0, 525, 0, 0, 0, 0, 0, 26, 551
"c:\Users\Haseeb Specter\Documents\GitHub\email-automation\app\(dashboard)\templates\page.js", "JavaScript", 0, 0, 386, 0, 0, 0, 0, 17, 28, 431
"c:\Users\Haseeb Specter\Documents\GitHub\email-automation\app\api\activation\route.js", "JavaScript", 0, 0, 194, 0, 0, 0, 0, 4, 25, 223
"c:\Users\Haseeb Specter\Documents\GitHub\email-automation\app\api\ai-instructions\[id]\route.js", "JavaScript", 0, 0, 50, 0, 0, 0, 0, 8, 14, 72
"c:\Users\Haseeb Specter\Documents\GitHub\email-automation\app\api\ai-instructions\route.js", "JavaScript", 0, 0, 44, 0, 0, 0, 0, 0, 12, 56
"c:\Users\Haseeb Specter\Documents\GitHub\email-automation\app\api\ai\generate\route.js", "JavaScript", 0, 0, 35, 0, 0, 0, 0, 0, 7, 42
"c:\Users\Haseeb Specter\Documents\GitHub\email-automation\app\api\analytics\stats\route.js", "JavaScript", 0, 0, 26, 0, 0, 0, 0, 0, 8, 34
"c:\Users\Haseeb Specter\Documents\GitHub\email-automation\app\api\auth\login\route.js", "JavaScript", 0, 0, 91, 0, 0, 0, 0, 0, 14, 105
"c:\Users\Haseeb Specter\Documents\GitHub\email-automation\app\api\auth\logout\route.js", "JavaScript", 0, 0, 7, 0, 0, 0, 0, 0, 2, 9
"c:\Users\Haseeb Specter\Documents\GitHub\email-automation\app\api\auth\session\route.js", "JavaScript", 0, 0, 32, 0, 0, 0, 0, 0, 6, 38
"c:\Users\Haseeb Specter\Documents\GitHub\email-automation\app\api\auth\signup\route.js", "JavaScript", 0, 0, 119, 0, 0, 0, 0, 0, 17, 136
"c:\Users\Haseeb Specter\Documents\GitHub\email-automation\app\api\campaigns\[id]\generate\route.js", "JavaScript", 0, 0, 179, 0, 0, 0, 0, 5, 35, 219
"c:\Users\Haseeb Specter\Documents\GitHub\email-automation\app\api\campaigns\[id]\leads\[leadId]\route.js", "JavaScript", 0, 0, 70, 0, 0, 0, 0, 6, 15, 91
"c:\Users\Haseeb Specter\Documents\GitHub\email-automation\app\api\campaigns\[id]\route.js", "JavaScript", 0, 0, 57, 0, 0, 0, 0, 4, 11, 72
"c:\Users\Haseeb Specter\Documents\GitHub\email-automation\app\api\campaigns\[id]\start\route.js", "JavaScript", 0, 0, 56, 0, 0, 0, 0, 5, 13, 74
"c:\Users\Haseeb Specter\Documents\GitHub\email-automation\app\api\campaigns\route.js", "JavaScript", 0, 0, 142, 0, 0, 0, 0, 3, 27, 172
"c:\Users\Haseeb Specter\Documents\GitHub\email-automation\app\api\emails\history\route.js", "JavaScript", 0, 0, 56, 0, 0, 0, 0, 4, 11, 71
"c:\Users\Haseeb Specter\Documents\GitHub\email-automation\app\api\emails\process-scheduled\route.js", "JavaScript", 0, 0, 37, 0, 0, 0, 0, 0, 8, 45
"c:\Users\Haseeb Specter\Documents\GitHub\email-automation\app\api\emails\schedule\route.js", "JavaScript", 0, 0, 86, 0, 0, 0, 0, 1, 12, 99
"c:\Users\Haseeb Specter\Documents\GitHub\email-automation\app\api\emails\send\route.js", "JavaScript", 0, 0, 83, 0, 0, 0, 0, 0, 12, 95
"c:\Users\Haseeb Specter\Documents\GitHub\email-automation\app\api\leads\[id]\route.js", "JavaScript", 0, 0, 168, 0, 0, 0, 0, 14, 34, 216
"c:\Users\Haseeb Specter\Documents\GitHub\email-automation\app\api\leads\batches\[id]\generate\route.js", "JavaScript", 0, 0, 166, 0, 0, 0, 0, 32, 39, 237
"c:\Users\Haseeb Specter\Documents\GitHub\email-automation\app\api\leads\batches\[id]\route.js", "JavaScript", 0, 0, 79, 0, 0, 0, 0, 8, 15, 102
"c:\Users\Haseeb Specter\Documents\GitHub\email-automation\app\api\leads\batches\[id]\start\route.js", "JavaScript", 0, 0, 64, 0, 0, 0, 0, 4, 14, 82
"c:\Users\Haseeb Specter\Documents\GitHub\email-automation\app\api\leads\batches\route.js", "JavaScript", 0, 0, 86, 0, 0, 0, 0, 0, 17, 103
"c:\Users\Haseeb Specter\Documents\GitHub\email-automation\app\api\leads\bulk\route.js", "JavaScript", 0, 0, 40, 0, 0, 0, 0, 3, 11, 54
"c:\Users\Haseeb Specter\Documents\GitHub\email-automation\app\api\leads\categories\[id]\route.js", "JavaScript", 0, 0, 66, 0, 0, 0, 0, 8, 17, 91
"c:\Users\Haseeb Specter\Documents\GitHub\email-automation\app\api\leads\categories\route.js", "JavaScript", 0, 0, 81, 0, 0, 0, 0, 0, 19, 100
"c:\Users\Haseeb Specter\Documents\GitHub\email-automation\app\api\leads\import\route.js", "JavaScript", 0, 0, 92, 0, 0, 0, 0, 3, 17, 112
"c:\Users\Haseeb Specter\Documents\GitHub\email-automation\app\api\leads\parse\route.js", "JavaScript", 0, 0, 33, 0, 0, 0, 0, 0, 7, 40
"c:\Users\Haseeb Specter\Documents\GitHub\email-automation\app\api\leads\route.js", "JavaScript", 0, 0, 144, 0, 0, 0, 0, 7, 24, 175
"c:\Users\Haseeb Specter\Documents\GitHub\email-automation\app\api\settings\process-scheduled\route.js", "JavaScript", 0, 0, 30, 0, 0, 0, 0, 0, 4, 34
"c:\Users\Haseeb Specter\Documents\GitHub\email-automation\app\api\settings\route.js", "JavaScript", 0, 0, 18, 0, 0, 0, 0, 0, 4, 22
"c:\Users\Haseeb Specter\Documents\GitHub\email-automation\app\api\settings\test-ai\route.js", "JavaScript", 0, 0, 29, 0, 0, 0, 0, 0, 4, 33
"c:\Users\Haseeb Specter\Documents\GitHub\email-automation\app\api\settings\test-smtp\route.js", "JavaScript", 0, 0, 27, 0, 0, 0, 0, 0, 5, 32
"c:\Users\Haseeb Specter\Documents\GitHub\email-automation\app\api\templates\[id]\route.js", "JavaScript", 0, 0, 71, 0, 0, 0, 0, 11, 16, 98
"c:\Users\Haseeb Specter\Documents\GitHub\email-automation\app\api\templates\route.js", "JavaScript", 0, 0, 74, 0, 0, 0, 0, 3, 12, 89
"c:\Users\Haseeb Specter\Documents\GitHub\email-automation\app\api\templates\upload\route.js", "JavaScript", 0, 0, 63, 0, 0, 0, 0, 0, 12, 75
"c:\Users\Haseeb Specter\Documents\GitHub\email-automation\app\api\workspaces\invitations\route.js", "JavaScript", 0, 0, 154, 0, 0, 0, 0, 2, 25, 181
"c:\Users\Haseeb Specter\Documents\GitHub\email-automation\app\api\workspaces\route.js", "JavaScript", 0, 0, 75, 0, 0, 0, 0, 3, 17, 95
"c:\Users\Haseeb Specter\Documents\GitHub\email-automation\app\api\workspaces\settings\route.js", "JavaScript", 0, 0, 128, 0, 0, 0, 0, 0, 21, 149
"c:\Users\Haseeb Specter\Documents\GitHub\email-automation\app\api\workspaces\settings\test-smtp\route.js", "JavaScript", 0, 0, 47, 0, 0, 0, 0, 0, 9, 56
"c:\Users\Haseeb Specter\Documents\GitHub\email-automation\app\globals.css", "CSS", 0, 0, 0, 0, 0, 0, 273, 21, 41, 335
"c:\Users\Haseeb Specter\Documents\GitHub\email-automation\app\layout.js", "JavaScript", 0, 0, 30, 0, 0, 0, 0, 0, 4, 34
"c:\Users\Haseeb Specter\Documents\GitHub\email-automation\app\onboarding\page.js", "JavaScript", 0, 0, 4, 0, 0, 0, 0, 1, 2, 7
"c:\Users\Haseeb Specter\Documents\GitHub\email-automation\components\auth\auth-brand-panel.js", "JavaScript", 0, 0, 26, 0, 0, 0, 0, 8, 4, 38
"c:\Users\Haseeb Specter\Documents\GitHub\email-automation\components\auth\verify-email-toast.js", "JavaScript", 0, 0, 53, 0, 0, 0, 0, 9, 5, 67
"c:\Users\Haseeb Specter\Documents\GitHub\email-automation\components\campaigns\campaign-detail-modal.js", "JavaScript", 0, 0, 164, 0, 0, 0, 0, 8, 14, 186
"c:\Users\Haseeb Specter\Documents\GitHub\email-automation\components\compose\recipient-field.js", "JavaScript", 0, 0, 368, 0, 0, 0, 0, 24, 30, 422
"c:\Users\Haseeb Specter\Documents\GitHub\email-automation\components\dashboard\activation-checklist.js", "JavaScript", 0, 0, 92, 0, 0, 0, 0, 12, 6, 110
"c:\Users\Haseeb Specter\Documents\GitHub\email-automation\components\layout\dashboard-shell.js", "JavaScript", 0, 0, 87, 0, 0, 0, 0, 3, 13, 103
"c:\Users\Haseeb Specter\Documents\GitHub\email-automation\components\layout\header.js", "JavaScript", 0, 0, 39, 0, 0, 0, 0, 7, 3, 49
"c:\Users\Haseeb Specter\Documents\GitHub\email-automation\components\layout\sidebar.js", "JavaScript", 0, 0, 128, 0, 0, 0, 0, 10, 9, 147
"c:\Users\Haseeb Specter\Documents\GitHub\email-automation\components\leads\create-lead-modal.js", "JavaScript", 0, 0, 249, 0, 0, 0, 0, 14, 16, 279
"c:\Users\Haseeb Specter\Documents\GitHub\email-automation\components\leads\import-workflow.js", "JavaScript", 0, 0, 566, 0, 0, 0, 0, 9, 55, 630
"c:\Users\Haseeb Specter\Documents\GitHub\email-automation\components\leads\lead-detail-modal.js", "JavaScript", 0, 0, 210, 0, 0, 0, 0, 12, 16, 238
"c:\Users\Haseeb Specter\Documents\GitHub\email-automation\components\leads\send-progress-panel.js", "JavaScript", 0, 0, 64, 0, 0, 0, 0, 13, 7, 84
"c:\Users\Haseeb Specter\Documents\GitHub\email-automation\components\providers\query-provider.js", "JavaScript", 0, 0, 19, 0, 0, 0, 0, 3, 4, 26
"c:\Users\Haseeb Specter\Documents\GitHub\email-automation\components\settings\appearance-card.js", "JavaScript", 0, 0, 157, 0, 0, 0, 0, 4, 18, 179
"c:\Users\Haseeb Specter\Documents\GitHub\email-automation\components\theme\theme-script.js", "JavaScript", 0, 0, 19, 0, 0, 0, 0, 5, 4, 28
"c:\Users\Haseeb Specter\Documents\GitHub\email-automation\components\ui\alert.js", "JavaScript", 0, 0, 36, 0, 0, 0, 0, 3, 9, 48
"c:\Users\Haseeb Specter\Documents\GitHub\email-automation\components\ui\button.js", "JavaScript", 0, 0, 39, 0, 0, 0, 0, 7, 4, 50
"c:\Users\Haseeb Specter\Documents\GitHub\email-automation\components\ui\card.js", "JavaScript", 0, 0, 18, 0, 0, 0, 0, 6, 2, 26
"c:\Users\Haseeb Specter\Documents\GitHub\email-automation\components\ui\input.js", "JavaScript", 0, 0, 27, 0, 0, 0, 0, 7, 3, 37
